Year,State,Type,Number,Companion,URL,Status,Description,Author/Sponsor,Level,Open Mentioned,Enacted,,,,47
2017,Texas,Adjourned,SB 1481,,http://www.capitol.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1481,"Passed Senate - 05/04/2017

Introduced in House, referred to Public Education - 05/12/2017

Reported favorably as substituted - 05/16/2017

Placed on General State Calendar - 05/23/2017","Relating to Instructional Materials: This bill amends the Education Code definition of ""open education resource instructional material"" to mean: teaching, learning, and research resources that reside in the public domain or have been released under an intellectual property license that allows for free use, reuse, modification, and sharing with others, including full courses, course materials, modules, textbooks, streaming videos, tests, software, and any other tools, materials, or techniques used to support access to knowledge - this term also includes state-developed open education resource instructional material. Further, this bill allows open education resource instructional materials to be considered when determining whether each student has instructional materials that cover all elements of essential knowledge and skills. FInally, all references throughout the Education Code to ""open source materials"" is now changed to ""open education resource instructional materials.""",Taylor,K-12,Yes,No,,,,
2017,Texas,Adjourned,SB 1484,,http://www.capitol.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1484,"Passed Senate - 05/11/2017

Introduced in House, referred to Public Education - 05/12/2017

Committee report filed, placed on Local, Consent, and Res. Calendar - 05/24/2017","Instructional Materials Web Portal: This bill requires the commissioner to develop and maintain a web portal to assist school districts and open-enrollment charter schools in selecting instructional materials. Open educational resources shall be included in the web portal and other electronic instructional materials that schools may access at no cost, including state-developed open-source instructional materials.",Taylor,K-12,Yes,No,,,,
2017,Texas,Adjourned,SB 1784,,http://www.capitol.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1784,Signed by the Governor - 06/15/2017,"Relating to Instructional Materials: This bill amends the Education Code definition of ""open education resource instructional material"" to mean: teaching, learning, and research resources that reside in the public domain or have been released under an intellectual property license that allows for free use, reuse, modification, and sharing with others, including full courses, course materials, modules, textbooks, streaming videos, tests, software, and any other tools, materials, or techniques used to support access to knowledge - this term also includes state-developed open education resource instructional material. Further, this bill allows open education resource instructional materials to be considered when determining whether each student has instructional materials that cover all elements of essential knowledge and skills. FInally, all references throughout the Education Code to ""open source materials"" is now changed to ""open education resource instructional materials.""",Taylor,K-12,Yes,Yes,,,,
2017,Texas,Adjourned,SB 810,,http://www.capitol.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB810,Signed by Governor - 06/09/2017,"Relating to the Use of Open Educational Resources: This bill would require that each institution of higher education compile a couse schedule indicating, among other things, whether the textbook required for each course is an open educational resource. Institutions shall make reasonable efforts to disseminate information to students, including the availability of courses and sections of courses that require or recommend only open educational resources. Further, this bill would establish the open educational resources grant program to encourage faculty at institutions to adopt and develop courses that use only open educational resources.",Kolkhorst,Higher Ed,Yes,Yes,,,,
2019,Texas,Legislation,HB 391,,https://capitol.texas.gov/Search/DocViewer.aspx?ID=86RHB003911B&QueryText=%22student%22&DocType=B,Signed by the Governor - 06/14/2019,"An Act Relating to Student Access to Public School Instructional Materials and Technology: This bill would require school districts or open-enrollment charter schools to provide take home instructional materials to the student in printed book format if the student does not have reliable access to technology at the student's home. 
Further, school districts and open-enrollment charter school must document each parental request to allow a student to take home instructional material used by the student that the district or school denies. 
This requirement, however, to provide a student instructional materials in a printed format does not require a school district or open-enrollment charter school to purcahse printed copies of instructional materials that the district or school otherwise would not purchase. A district or school may comply by providing a student a printout of the relevant electronic instructional materials. ",Blanco,K-12,No,Yes,,,,
2019,Texas,Legislation,HB 396,,https://capitol.texas.gov/Search/DocViewer.aspx?ID=86RHB003961B&QueryText=%22student%22&DocType=B,Signed by the Governor - 06/10/2019,"An Act Relating to Acceptable Uses of the Instructional Materials and Technology Fund and the Instructional Materials and Technology Allotment: This bill would allow for instructional materials and technology funds to go to the purchase of inventory software or systems for storing and accessing instructional materials.
With the House floor amendment, it also allows the Fund to be used for ""analyzing the usage and effectiveness of the instructional materials"".",VanDeaver,K-12,No,Yes,,,,
2019,Texas,Legislation,HB 397,,https://capitol.texas.gov/Search/DocViewer.aspx?ID=86RHB003971B&QueryText=%22student%22&DocType=B,"Filed - 11/19/2018

Read first time, referred to Public Education - 02/19/2019

Public hearing, left pending in Committee - 02/26/2019",An Act Relating to Acceptable Uses by a School District of the Instructional Materials and Technology Allotment: This bill would allow for instructional materials and technology funds to go to the purchase of inventory software or systems for storing and accessing instructional materials.,VanDeaver,K-12,No,No,,,,
2019,Texas,Legislation,HB 1933,,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=86R&Bill=HB1933,"Filed - 02/19/2019

Read first time, referred to Higher Education - 03/05/2019

Committee report sent to calendars - 04/26/2019","Inclusion of Certain Textbook Costs in Tuition or Fees Charge: This bill allows the governing board of institutions of higher education to establish a textbook affordability program under which the institution may include the cost of any textbooks or other materials required for a course in the tuition or required fees charged by the institution for the course. To establish the program, the institution must enter into an agreement with a book publisher or other entity to make those textbooks or materials available to students at below competitive market rates and there must be an opt out policy, as well as a requirement the students are able to obtain the textbooks within seven days of the start of the semester or term.",Howard,Higher Ed,No,No,,,,
2019,Texas,Legislation,HB 3607,,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=86R&Bill=HB3607,"Passed House - 05/04/2019

Read first time in Senate, referred to Higher Education - 05/07/2019",This bill would require the board to conduct a study on methods to reduce the cost of electronic textbooks and course materials required or recommended for core curriculum courses. ,Davis,Higher Ed,No,No,,,,
2019,Texas,Legislation,HB 3650,,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=86R&Bill=HB3650,Signed by the Governor - 06/10/2019,This bill amends existing law and requires agreements between school districts and public institutions of higher education that provide dual credit programs to consider the use of free or low-cost open educational resources in courses offered under the program.,Turner,Both,Yes,Yes,,,,
2019,Texas,Legislation,HB 3652,,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=86R&Bill=HB3652,Signed by the Governor - 06/10/2019,"This bill requires the state board to contract with a high-quality open educational resource repository to develop and maintain a web portal customized to meet the needs of individual institutions of higher education, students, and others who may benefit from access to open educational resources.",Turner,Higher Ed,Yes,Yes,,,,
2019,Texas,Legislation,HB 3836,,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=86R&Bill=HB3836,"Filed - 03/07/2019

Read first time, referred to Public Education - 03/19/2019

Reported fabvorably as substitute - 04/17/2019
","This bill amends existing law - in selecting instructional material each year, a school district or open-enrollment charter school shall (amended from may) consider the use of open education resoure instructional materials.",Bell,K-12,Yes,No,,,,
2019,Texas,Legislation,SB 1536,,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=86R&Bill=SB1536,"Filed - 03/05/2019

Read first time, referred to Higher Education - 03/14/2019","Inclusion of Certain Textbook Costs in Tuition or Fees Charge: This bill allows the governing board of institutions of higher education to establish a textbook affordability program under which the institution may include the cost of any textbooks or other materials required for a course in the tuition or required fees charged by the institution for the course. To establish the program, the institution must enter into an agreement with a book publisher or other entity to make those textbooks or materials available to students at below competitive market rates and there must be an opt out policy, as well as a requirement the students are able to obtain the textbooks within seven days of the start of the semester or term.",Menendez,Higher Ed,No,No,,,,
2009,Virginia,Legislation,HB 1940,SB 1173,http://lis.virginia.gov/cgi-bin/legp604.exe?091+sum+HB1940,Died in committee,"Open education resource centers; fund established; pilot project.  Requires the State Board for Community Colleges, in consultation with the Virginia Department of Education and the State Council of Higher Education for Virginia, to develop a competitive grant pilot program to provide grants to community colleges to establish open education resource centers in the Commonwealth. To qualify for a grant, community colleges shall be required to demonstrate a partnership with faculty or staff from at least one local school division and one institution of higher education in the Commonwealth. Grants would be awarded on a competitive basis with guidelines established in the bill. The bill also establishes a fund authorizing both public and private contributions. The provisions of this bill would not become effective until either an appropriation of general funds effectuating the purposes of this bill is included in a general appropriations act passed by the 2009 or 2010 Session of the General Assembly, which becomes law, or funds from other private or public sources are deposited into the Open Education Resource Center Grant Fund by July 1, 2010.  This bill is identical to SB 1173.","Christopher K. Peace (chief patron), Timothy D. Hugo, Joe T. May",Higher Ed,Yes,No,,,,
2009,Virginia,Legislation,SB 1173,HB1940,http://lis.virginia.gov/cgi-bin/legp604.exe?091+sum+SB1173,Died in committee,"Open education resource centers; fund established; pilot project.  Requires the State Board for Community Colleges, in consultation with the Virginia Department of Education and the State Council of Higher Education for Virginia, to develop a competitive grant pilot program to provide grants to community colleges to establish open education resource centers in the Commonwealth. To qualify for a grant, community colleges shall be required to demonstrate a partnership with faculty or staff from at least one local school division and one institution of higher education in the Commonwealth. Grants would be awarded on a competitive basis with guidelines established in the bill. The bill also establishes a fund authorizing both public and private contributions. The provisions of this bill would not become effective until either an appropriation of general funds effectuating the purposes of this bill is included in a general appropriations act passed by the 2009 or 2010 Session of the General Assembly, which becomes law, or funds from other private or public sources are deposited into the Open Education Resource Center Grant Fund by July 1, 2010.  This bill is identical to SB 1173.",John C. Watkins (chief patron),Higher Ed,Yes,No,,,,
2010,Virginia,Legislation,HB 724,,http://lis.virginia.gov/cgi-bin/legp604.exe?101+sum+HB724,Companion enacted,"Open Education Curriculum Board; established. Establishes the Open Education Curriculum Board. The purpose of the Board is to designate qualifying entities as Open Education Consortiums and set the standards for submission of education materials and subsequent licensing of educational curriculum developed by the Consortiums. Materials submitted to a Consortium may be edited in any manner and released under a Creative Commons license or licensed for use as a commercial product, subject to restrictions developed by the Board. Consortiums may offer financial incentives to encourage individuals to submit educational materials to the Consortium.",Delegate Christopher K. Peace,K-12,Yes,No,,,,
2010,Virginia,Legislation,SB 241,,http://lis.virginia.gov/cgi-bin/legp604.exe?101+sum+SB241,Signed by governor,"Open Education Curriculum Board; established.  Establishes the Open Education Curriculum Board. The purpose of the Board is to designate qualifying entities as Open Education Consortiums and set the standards for submission of education materials and subsequent licensing of educational curriculum developed by the Consortiums. Materials submitted to a Consortium may be edited in any manner and released under a Creative Commons license or licensed for use as a commercial product, subject to restrictions developed by the Board. Consortiums may offer incentives to encourage individuals to submit educational materials to the Consortium.",John C. Watkins (chief patron),K-12,Yes,Yes,,,,
2012,Virginia,Legislation,SB 45,,http://lis.virginia.gov/cgi-bin/legp604.exe?121+sum+SB0045,Signed by governor,"Open Education Curriculum Board.  Alters the function of the Open Education Curriculum Board from a policy board to an advisory board. In its new role, the Open Education Curriculum Board shall advise the Governor and the Board of Education on the creation, collection, categorization, distribution, and licensing of open educational resources and the integration of those resources with Virginia's Standards of Learning.",John C. Watkins (chief patron),K-12,Yes,Yes,,,,
2013,Virginia,Legislation,HB 1777,,http://lis.virginia.gov/cgi-bin/legp604.exe?131+sum+HB1777,Died in committee,Virginia Open Education Resources Council and Virginia Digital Open Source Textbook Library. Establishes the Virginia Open Education Resources Council to (i) identify and acquire digital open source textbooks to be used in 50 undergraduate courses in public institutions of higher education in the Commonwealth and (ii) develop the Virginia Digital Open Source Textbook Library as the digital repository of such open source textbooks. The Council shall be staffed by one faculty member from each public institution of higher education in the Commonwealth.,"Eileen Filler-Corn (chief patron), David B. Albo, Kaye Kory, K. Rob Krupicka, Lynwood W. Lewis, Jr., Alfonso H. Lopez, Joe T. May, Delores L. McQuinn, Kenneth R. Plum, James M. Scott, Scott A. Surovell, David J. Toscano, Roslyn C. Tyler",Higher Ed,Yes,No,,,,
2015,Virginia,Legislation,HB 2041,,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=151&typ=bil&val=hb2041&submit=GO,Left in House Appropriations - Dead,"A Bill to Amend the Code of Virginia relating to the Establishment of the Open Education Resources Innovation Council: The Open Education Resources Innovation Council is established for the purpose of identifying open education resources at all levels of education and uses for such resources and recommending specific policies and funding mechanisms for the increased use of open education resources in the Commonwealth. This Council is required to advise the Governor and General Assembly on open education policies that have the potential to reduce the cost of textbooks and educational materials in the Commonwealth while maintaining or adding value to the learning experience, and developing and maintaining a list of 50 digital open source textbooks, amongst other duties.",Eileen Filler-Corn,Both,yes,no,1/13/2016,,,
2016,Virginia,Legislation,HB 662,,http://lis.virginia.gov/cgi-bin/legp604.exe?161+sum+HB662,Left in House Education Committee - 2/16/16,State Council of Higher Education for Virginia: Open Educational Resources. Requires the State Council of Higher Education to administer an Open Educational Resources Fund and Program to provide grants on a competitive basis to public institutions of higher education to encourage such institutions to use low-cost or no-cost open educational resources that are openly licensed and shared with the public through an existing or new open educational resources repository.,Eileen Filler-Corn,Higher Ed,yes,no,,,,
2016,Virginia,Legislation,SB 740,,http://lis.virginia.gov/cgi-bin/legp604.exe?161+sum+SB740,Passed by indefinitely in Education by voice vote - 3/2/16,"Access to Electronic Textbooks: prohibits school boards requiring the use of any electronic textbook in any course in grades 6-12, unless the school board adopts a plan that each student in the course will have access to a personal computing device. The local school board may also establish a pilot program for the use of electronic textbooks at any secondaary school provided that each student within that school has access to a personal computing device capable of supporting such textbooks",Scott Surovell,K-12,no,no,,,,
2017,Virginia,Adjourned,SB 1570,HB 1923,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=171&typ=bil&val=SB1570,"Introduced and referred to Education and Health Committee - 01/20/2017 

Incorporated by Education and Health - 01/26/2017","This bill creates an online learning program to be known as the Virtual Virginia Program.  The department shall creates a Committee which shall advise the Department on online courses, and digital instructional resources that school divisions need to meet graduation requirements, as well as strategic planning to expand blended and online learning opportunities in Virginia's public schools, including cost-effective access to high need and low demand courses, training, content, and digital resources.",Peake,K-12,No,No,,,,
2017,Virginia,Adjourned,HB 1923,SB 1570,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=171&typ=bil&val=HB1923,House: Left in Appropriations - 02/08/2017,"This bill creates an online learning program to be known as the Virtual Virginia Program.  The department shall creates a Committee which shall advise the Department on online courses, and digital instructional resources that school divisions need to meet graduation requirements, as well as strategic planning to expand blended and online learning opportunities in Virginia's public schools, including cost-effective access to high need and low demand courses, training, content, and digital resources.","Bagby, Bell, John J., Boysko, Cole, Hester, Lindsey, Mullin, Plum, Simon",K-12,No,No,,,,
2017,Virginia,Adjourned,HB 2262,,http://lis.virginia.gov/cgi-bin/legp604.exe?171+sum+HB2262,Signed by Governor - 03/24/2017,"Establishment of the Online Virginia Network Authority: This bill creates the Online Virginia Network Authority. This requires each public institution of higher education and each consortium of public institutions of higher education that offers online courses, online degree programs, or online credential programs to offer courses, degree programs, or credential programs through the Authority. The Authority shall, to the extent practicable, manage and reduce program costs by reducing textbook costs through open access.","Cox, Cline, Anderson, Austin, Bell, Richard P., Bloxom, Byron, Campbell, Cole, Collins, Davis, Dudenhefer, Fowler, Garrett, Greason, Helsel, Hodges, Hugo, Jones, Kilgore, Landes, LaRock, Leftwich, Lingamfelter, Massie, Minchew, O'Bannon, Peace, Pillion, Poindexter, Ransone, Robinson, Rush, Villanueva, Ware, Wilt, Wright, Yancey",Higher Ed,Yes,Yes,,,,
2017,Virginia,Adjourned,HB 2377,,http://lis.virginia.gov/cgi-bin/legp604.exe?171+sum+HB2377,Signed by Governor - 02/20/2017,"Media-related tax exemptions: The tax imposed under this chapter shall not apply to the following: Beginning July 1, 1998 and extending through July 1, 2022, textbooks or other educational materials withdrawn from inventory at book-publishing distribution facilities for free distribution to professors and other individuals who have an educational focus (this bill extends the end date of this particular section).",Freitas,Both,No,Yes,,,,
2017,Virginia,Adjourned,SB 1335,,http://lis.virginia.gov/cgi-bin/legp604.exe?171+sum+SB1335,Passed by indefinitely in Education and Health - 02/02/2017,"Electronic Textbooks: This bill prohibits local school boards from requiring the use of any electronic textbook in any course in grades 6-12 unless the school board adopts a plan to ensure (by July 1, 2019) that each student enrolled will have access to a personal computing device capable of supporting such textbooks and the relevant school has adequate connectivity.",Surovell,K-12,No,No,,,,
2018,Virginia,Legislation,HB 30 143#5h,,https://budget.lis.virginia.gov/amendment/2018/1/HB30/Introduced/MR/143/6h/,"Amendment approved by Committee. Bill failed to pass in House, no further action taken - 03/10/2018","Amendment to the budget bill requesting $600,000 additional general fund per year to support a proposal made by the Virtual LIbrary (VIVA) to the Joint Subcommittee on the Future Competitiveness of Virginia Higher Education for open and affordable course content. The funding will enable VIVA to expand the Open Textbook Network pilot, provide course redesign grants to faculty, create a central portal for faculty to select affordable textbooks, and coordinate and assess the program. In addition to making higher education more affordable, the program will allow for increased student engagement and create courses with a more outcome-centered approach.","Rush, Jones",Higher Ed,Yes,No,,,,
2018,Virginia,Legislation,HB 30 143#6h,,https://budget.lis.virginia.gov/amendment/2018/1/HB30/Introduced/MR/143/6h/,"Amendment rejected by Committee. Bill failed to pass in House, no further action taken - 03/10/2018","Amendment to the budget bill requesting $600,000 additional general fund per year to fund an initiative of the virtual library to provide free or reduced course content to students, including textbooks.","Filler-Corn, Eileen",Higher Ed,No,No,,,,
2018,Virginia,Legislation,HB 454,,http://lis.virginia.gov/cgi-bin/legp604.exe?181+sum+HB454,Signed by Governor - 04/04/2018,"Requires the governing board of each public institution of higher education to implement policies, procedures, and guidelines that encourage the adoption and use of low-cost and no-cost open educational resources in courses offered at such institution.","Filler-Corn, Eileen",Higher Ed,Yes,Yes,,,,
2018,Virginia,Legislation,HB 521,,http://lis.virginia.gov/cgi-bin/legp604.exe?181+ful+HB521,Left in Education - 02/13/2018,"This bill amends existing law regarding Virtual Virginia public schools: This bill amends existing law to establish an online learning program called the Virginia Virtual Program. This bill would require enrollment in the online learning program during the school year to be open, on a space-available basis and free of charge, to each public high school student. Existing law regarding the Virginia Virtual schools requires the Virginia Learning Advisory Committee to advice the department on digital instructional resources that are needed and strategic planning to expand blended and online learning opportunities, including cost-effective access to high-need and low-demand courses, training, content, and digital resources.",Bell,K-12,No,No,,,,
2018,Virginia,Legislation,HB 831,,http://lis.virginia.gov/cgi-bin/legp604.exe?181+ful+HB831,Left in Appropriations - 02/13/2018,"This bill amends existing law regarding Virtual Virginia public schools: This bill amends existing law to establish an online learning program called the Virginia Virtual Program. This shall be made available to every public middle and high school and may be made available to every public elementary school. Existing law regarding the Virginia Virtual schools requires the Virginia Learning Advisory Committee to advise the department on digital instructional resources that are needed and strategic planning to expand blended and online learning opportunities, including cost-effective access to high-need and low-demand courses, training, content, and digital resources.",Bagby,K-12,No,No,,,,
2018,Virginia,Legislation,HB 1504,,http://lis.virginia.gov/cgi-bin/legp604.exe?181+ful+HB1504,Failed to Pass - 03/10/2018,"This bill amends existing law regarding Virtual Virginia public schools: This bill amends existing law to establish an online learning program called the Virginia Virtual Program. This shall be made available to every public middle and high school and may be made available to every public elementary school. Existing law regarding the Virginia Virtual schools requires the Virginia Learning Advisory Committee to advise the department on digital instructional resources that are needed and strategic planning to expand blended and online learning opportunities, including cost-effective access to high-need and low-demand courses, training, content, and digital resources.",Cline & Bell,K-12,No,No,,,,
2018,Virginia,Legislation,SB 785,,http://lis.virginia.gov/cgi-bin/legp604.exe?181+sum+SB785,"Passed Senate - 02/06/2018

House: Left in Appropriations - 03/06/2018",This bill would prohibit local school boards from requiring the use of any electronic textbook in any course in grades 6-12 unless the board adopts a plan to ensure that each student enrolled in such course will have access to a personal computing device capable of supporting such textbooks and the relevant school has adequate connectivity.,Surovell,K-12,No,No,,,,
2019,Virginia,Legislation,HB 2380,,http://lis.virginia.gov/cgi-bin/legp604.exe?191+sum+HB2380,Signed by Governor - 03/18/2019 (effective 07/01/2019),Requires the registrar or another appropriate employee of each public institution of higher education to identify conspicuously (i) in the online course catalogue or registration system or (ii) as soon as practicable after the necessary information becomes available each course for which the instructor exclusively uses no-cost course materials or low-cost course materials.,"Chris L. Hurst (chief patron)
Eileen Filler-Corn
Kaye Kory
Mark H. Levine
Joseph C. Lindsey
David A. Reid
Marcus B. Simon",Higher Ed,No,Yes,,,,
2007,Washington,Legislation,HB 2300,,http://app.leg.wa.gov/billsummary?BillNumber=2300&Year=2007,Signed by Governor 4/23/07,Publishers must make immediately available to faculty at higher education institutions the wholesale price of college textbooks and a history of revisions.,"Hasegawa, Jarrett, Wallace, B. Sullivan, Kenney, Hunter, Goodman, Dunshee, Chase, Ormsby, Kelley, Simpson and Blake",Higher Ed,No,Yes,Nicole's first bill!,"<li><a href=""http://app.leg.wa.gov/billsummary?BillNumber=2300&Year=2007>HB 2300</a> (2007): Publishers must make immediately available to faculty at higher education institutions the wholesale price of college textbooks and a history of revisions.</li>",,
2009,Washington,Legislation,HB 1025,,http://app.leg.wa.gov/billsummary?BillNumber=1025&Year=2009,Signed by Governor 4/28/09,"Requires the governing bodies of state higher education institutions, in collaboration with stakeholders, to adopt rules requiring that affiliated bookstores disclose information to students on required course materials including but not limited to title, authors, edition, price, and International Standard Book Number (ISBN) at least four weeks in advance, with certain exceptions, and requiring that faculty and staff members consider the least costly practices in assigning course materials, such as adopting the least expensive edition available, adopting free, open textbooks when available, and working with college librarians to put together collections of free online web and library resources.","Armstrong, Upthegrove, and Wallace",Higher Ed,Yes,Yes,,"<li><a href=""http://app.leg.wa.gov/billsummary?BillNumber=1025&Year=2009>HB 1025</a> (2009): Requires the governing bodies of state higher education institutions, in collaboration with stakeholders, to adopt rules requiring that affiliated bookstores disclose information to students on required course materials including but not limited to title, authors, edition, price, and International Standard Book Number (ISBN) at least four weeks in advance, with certain exceptions, and requiring that faculty and staff members consider the least costly practices in assigning course materials, such as adopting the least expensive edition available, adopting free, open textbooks when available, and working with college librarians to put together collections of free online web and library resources.</li>",,
2009,Washington,Legislation,HB 1946,,http://app.leg.wa.gov/billsummary?BillNumber=1946&Chamber=House&Year=2009,Signed by Governor 5/7/09,"Encourages all institutions of higher education to use common online learning technologies. Requires the higher education coordinating board to convene a higher education technology transformation task force to prepare a report that includes a plan to improve the efficiency, effectiveness, and quality of public higher education relative to the strategic and operational use of technology in higher education. The task force is directed to investigate methods and open licensing options for effectively sharing digital content.","Carlyle, Anderson, Wallace, Angel, White, Schmick, Hasegawa, Goodman, Sullivan, Haigh, Hudgins, Kenney, and Maxwell",Higher Ed,Yes,Yes,,"<li><a href=""http://app.leg.wa.gov/billsummary?BillNumber=1946&Chamber=House&Year=2009>HB 1946</a> (2009): Encourages all institutions of higher education to use common online learning technologies. Requires the higher education coordinating board to convene a higher education technology transformation task force to prepare a report that includes a plan to improve the efficiency, effectiveness, and quality of public higher education relative to the strategic and operational use of technology in higher education. The task force is directed to investigate methods and open licensing options for effectively sharing digital content.</li>",,
2010,Washington,Legislation,HB 2824,SB 6444,http://app.leg.wa.gov/billsummary?BillNumber=6444&Year=2010,Companion Enacted.,"Making 2010 operating supplemental appropriations. Appropriates $1,112,000 for fiscal year 2010 and $1,113,000 for fiscal year 2011 for the state board of community and technical colleges to enhance online distance learning and open courseware technology. Funds shall be used to support open courseware, open textbooks, open licenses to increase access, affordability and quality of courses in higher education.","Linville, Ericks",Higher Ed,Yes,No,,,,
2010,Washington,Legislation,SB 6355,,http://app.leg.wa.gov/billsummary?BillNumber=6355&Year=2010,Signed by Governor 3/30/10,"Provides a systematic mechanism for communities and thestate to identify educational programs and capital investments needed to expand the state's higher education system upon demand. Authorizes a competitive grant program to support innovative solutions, including furthering the development of learner-centered, technology-assisted course delivery, including expansion of online and hybrid coursework, open courseware, and other uses of technology in order to effectively and efficiently share costs, improve the quality of instruction and student, faculty, and administrative services, increase undergraduate and graduate student access, retention, and graduation, and to enhance transfer capability.","Kilmer, Becker, Rockefeller, and Shin",Higher Ed,Yes,Yes,,"<li><a href=""http://app.leg.wa.gov/billsummary?BillNumber=6355&Year=2010>SB 6355</a> (2010): Provides a systematic mechanism for communities and thestate to identify educational programs and capital investments needed to expand the state's higher education system upon demand. Authorizes a competitive grant program to support innovative solutions, including furthering the development of learner-centered, technology-assisted course delivery, including expansion of online and hybrid coursework, open courseware, and other uses of technology in order to effectively and efficiently share costs, improve the quality of instruction and student, faculty, and administrative services, increase undergraduate and graduate student access, retention, and graduation, and to enhance transfer capability.</li>",,
2010,Washington,Legislation,SB 6444,HB 2824,http://app.leg.wa.gov/billsummary?BillNumber=6444&Year=2010,Signed by Governor 5/4/10 (subject to partial veto that did not affect the relevant portion of the bill),"Making 2010 operating supplemental appropriations. Appropriates $1,112,000 for fiscal year 2010 and $1,113,000 for fiscal year 2011 for the state board of community and technical colleges to enhance online distance learning and open courseware technology. Funds shall be used to support open courseware, open textbooks, open licenses to increase access, affordability and quality of courses in higher education.","Prentice, Tom",Higher Ed,Yes,Yes,,"<li><a href=""http://app.leg.wa.gov/billsummary?BillNumber=6444&Year=2010>SB 6444</a> (2010): Making 2010 operating supplemental appropriations. Appropriates $1,112,000 for fiscal year 2010 and $1,113,000 for fiscal year 2011 for the state board of community and technical colleges to enhance online distance learning and open courseware technology. Funds shall be used to support open courseware, open textbooks, open licenses to increase access, affordability and quality of courses in higher education.</li>",,
2012,Washington,Legislation,HB 2337,SB 6231,http://app.leg.wa.gov/billsummary?BillNumber=2337&Year=2011,Signed by Governor 3/29/12,"Requires the superintendent of public instruction to take the lead in developing openly licensed courseware aligned with the common core state standards and placed under a Creative Commons attribution license that allows others to use, distribute, and create derivative works based upon the digital material, while still allowing the authors or creators to retain the copyright and to receive credit for their efforts. Allocates one and one-half percent of the amount otherwise allocable to school districts for curriculum and textbooks under RCW 28A.150.260(8) to be allocated to the office of the superintendent of public instruction solely for the development of openly licensed courseware.","Carlyle, Orwall, Sullivan, Maxwell, Lytton, Zeiger, Reykdal, Pettigrew, Liias, Dammeier, Fitzgibbon, Pedersen, Hunt, and Hudgins",K-12,Yes,Yes,,"<li><a href=""http://app.leg.wa.gov/billsummary?BillNumber=2337&Year=2011>HB 2337</a> (2012): Requires the superintendent of public instruction to take the lead in developing openly licensed courseware aligned with the common core state standards and placed under a Creative Commons attribution license that allows others to use, distribute, and create derivative works based upon the digital material, while still allowing the authors or creators to retain the copyright and to receive credit for their efforts. Allocates one and one-half percent of the amount otherwise allocable to school districts for curriculum and textbooks under RCW 28A.150.260(8) to be allocated to the office of the superintendent of public instruction solely for the development of openly licensed courseware.</li>",,
2012,Washington,Legislation,SB 6231,HB 2337,http://app.leg.wa.gov/billsummary?BillNumber=6231&Chamber=Senate&Year=2011,Companion Enacted.,"Requires the superintendent of public instruction to take the lead in developing openly licensed courseware aligned with the common core state standards and placed under a Creative Commons attribution license that allows others to use, distribute, and create derivative works based upon the digital material, while still allowing the authors or creators to retain the copyright and to receive credit for their efforts. Allocates one and one-half percent of the amount otherwise allocable to school districts for curriculum and textbooks under RCW 28A.150.260(8) to be allocated to the office of the superintendent of public instruction solely for the development of openly licensed courseware.","McAuliffe, Conway, Keiser",K-12,Yes,No,,,,
2015,Washington,Legislation,HB 1973,,http://app.leg.wa.gov/billinfo/summary.aspx?bill=1973&year=2015,"By resolution, reintroduced and retained in present status - Dead","An Act Relating to the Washington Open Education Pilot Program at Eastern Washington University: This bill establishes the Eastern Washington University open education pilot program, created to reduce student’s cost of attendance by creating an open educational resources program","Stambaugh, Bergquist, Hargrove, Haler, Zeiger, Van Werven, Magendanz, Kochmar, Muri, Gregerson, Parker, Riccelli",Higher Ed,yes,no,1/11/2016,,,
2015,Washington,Legislation,HB 2165,,http://app.leg.wa.gov/billsummary?BillNumber=2165&Year=2015,"By resolution, reintroduced and retained in present status - Dead","An Act Eliminating the use of Common Core State Standards and Assessments: This bill requires the superintendent of public instruction to identify and develop a library of openly licensed courseware aligned with the state standards - this would allow others to use, distribute, and create derivative works based upon the digital material, while still allowing the authors or creators to retain the copyright and to receive credit for their efforts. The open educational resources account will be created in the custody of the state treasurer.
","Scott, Haler, Shea, Vick, Short, Van Werven, Condotta, Wilson, Young, Orcutt, Kochmar, Schmick, Taylor, Harmsworth, Hunt, G., Griffey, Klippert, Buys, Parker, Holy, Pike, MacEwen",K-12,yes,no,1/11/2016,,,
